name
ROLE_ADMIN
ROLE_USER
ROLE_SYSTEM_ADMINISTRATOR
ROLE_HUUB_TEAM
ROLE_CITY_HOST
ROLE_TECHNICAL_ADVISOR
ROLE_COMMUNITY_PARTNER
ROLE_BUSINESS_OWNER
